investment_id,client_id,client_name,age,city,state,asset_type,risk_category,investment_amount,annual_return_amount,investment_years,investment_start_date,investment_end_date,roi_percent,total_invested,asset_risk_score,roi_risk_score,risk_score,risk_level,years_invested,ending_value,cagr_percent
1,INV100000,Rakesh Joshi,30,Mumbai,Maharashtra,Equity,High,1133912.0,50459.08,1.7808,2019-04-03,2021-01-12,4.449999647238939,1133912.0,3,1,2.1999999999999997,Medium,1.7808219178082192,1184371.08,2.474974261603946
2,INV100001,Priya Agarwal,39,Jaipur,Tamil Nadu,Equity,High,4439227.0,658781.29,4.6438,2022-01-06,2026-08-28,14.840000072084623,4439227.0,3,2,2.5999999999999996,High,4.6438356164383565,5098008.29,3.0244773919325896
3,INV100002,Neha Verma,30,Pune,West Bengal,Debt Fund,Low,1539319.0,255065.16,2.2055,2018-11-15,2021-01-28,16.57000011043845,1539319.0,1,3,1.8000000000000003,Medium,2.2054794520547945,1794384.16,7.199196218492299
4,INV100003,Suresh Joshi,43,Jaipur,Telangana,ETF,Medium,564488.0,96753.24,3.1233,2023-06-16,2026-07-30,17.13999943311461,564488.0,2,3,2.4000000000000004,High,3.1232876712328768,661241.24,5.195635884190231
5,INV100004,Rakesh Agarwal,42,Hyderabad,Karnataka,Debt Fund,Low,2111749.0,378425.42,2.3041,2022-10-18,2025-02-05,17.91999996211671,2111749.0,1,3,1.8000000000000003,Medium,2.304109589041096,2490174.42,7.416122916688694
6,INV100005,Vikas Joshi,40,Kolkata,Gujarat,Debt Fund,Low,2439572.0,405700.82,4.4164,2018-05-27,2022-10-25,16.629999852433134,2439572.0,1,3,1.8000000000000003,Medium,4.416438356164384,2845272.82,3.544643389858071
7,INV100006,Rahul Deshmukh,27,Chennai,Tamil Nadu,Equity,High,4872033.0,387326.62,5.3534,2022-04-23,2027-08-29,7.949999928161406,4872033.0,3,1,2.1999999999999997,Medium,5.353424657534247,5259359.62,1.4392122480903824
8,INV100007,Kavita Mehta,34,Nagpur,Telangana,ETF,Medium,4957851.0,980167.14,3.8,2021-09-04,2025-06-22,19.76999994554092,4957851.0,2,3,2.4000000000000004,High,3.8,5938018.14,4.861944732903489
9,INV100008,Pooja Deshmukh,33,Pune,Maharashtra,Equity,High,2404036.0,419504.28,3.2384,2021-04-10,2024-07-05,17.449999916806572,2404036.0,3,3,3.0,High,3.2383561643835614,2823540.2800000003,5.092208376622875
10,INV100009,Kavita Khan,54,Ahmedabad,Maharashtra,ETF,Medium,1542026.0,281573.95,3.1589,2018-05-11,2021-07-07,18.2600001556394,1542026.0,2,3,2.4000000000000004,High,3.158904109589041,1823599.95,5.45276147698639
11,INV100010,Prakash Agarwal,35,Mumbai,Tamil Nadu,Fixed Deposit,Low,4704433.0,824216.66,1.6247,2019-11-28,2021-07-13,17.519999965989527,4704433.0,1,3,1.8000000000000003,Medium,1.6246575342465754,5528649.66,10.447224633113139
12,INV100011,Shilpa Khan,37,Hyderabad,Karnataka,Fixed Deposit,Low,4458742.0,910920.99,4.5836,2019-09-04,2024-04-03,20.42999998654329,4458742.0,1,3,1.8000000000000003,Medium,4.583561643835616,5369662.99,4.139134333518557
13,INV100012,Rakesh Gupta,44,Mumbai,Telangana,Fixed Deposit,Low,4648929.0,954425.12,1.1068,2020-09-27,2021-11-05,20.529999920411775,4648929.0,1,3,1.8000000000000003,Medium,1.106849315068493,5603354.12,18.376818442397024
14,INV100013,Anil Patil,55,Bengaluru,Gujarat,Mutual Fund,Medium,918513.0,157708.68,3.9863,2022-04-07,2026-04-01,17.169999771369593,918513.0,2,3,2.4000000000000004,High,3.9863013698630136,1076221.68,4.055065734725938
15,INV100014,Pooja Mehta,58,Pune,Telangana,Mutual Fund,Medium,1887377.0,317645.55,4.6438,2021-10-07,2026-05-29,16.830000047685225,1887377.0,2,3,2.4000000000000004,High,4.6438356164383565,2205022.55,3.406325922034359
16,INV100015,Suresh Sharma,39,Mumbai,West Bengal,Equity,High,376448.0,54923.76,1.0384,2019-03-28,2020-04-10,14.589999149948998,376448.0,3,2,2.5999999999999996,High,1.0383561643835617,431371.76,14.014969939198707
17,INV100016,Swati Khan,55,Kolkata,Gujarat,Mutual Fund,Medium,2536036.0,406780.17,5.0575,2018-09-28,2023-10-18,16.039999826500882,2536036.0,2,3,2.4000000000000004,High,5.057534246575343,2942816.17,2.985136529796306
18,INV100017,Rahul Verma,28,Hyderabad,Delhi,Mutual Fund,Medium,3815919.0,396092.39,5.0904,2022-11-05,2027-12-07,10.379999942346785,3815919.0,2,2,2.0,Medium,5.090410958904109,4212011.39,1.9590364023251539
19,INV100018,Sunil Verma,53,Mumbai,Maharashtra,Equity,High,4698690.0,567601.75,3.5945,2019-07-25,2023-02-26,12.079999957434945,4698690.0,3,2,2.5999999999999996,High,3.5945205479452054,5266291.75,3.2235483352808236
20,INV100019,Rahul Patil,49,Chennai,Tamil Nadu,Gold,Medium,2182894.0,152584.29,3.2493,2019-03-14,2022-06-12,6.989999972513554,2182894.0,2,1,1.6,Low,3.249315068493151,2335478.29,2.101136483063759
21,INV100020,Deepak Sharma,62,Hyderabad,Maharashtra,Equity,High,4862122.0,773563.61,2.663,2019-01-24,2021-09-22,15.90999999588657,4862122.0,3,3,3.0,High,2.663013698630137,5635685.61,5.7008120216090585
22,INV100021,Suresh Patil,29,Delhi,Gujarat,Equity,High,4418214.0,907942.98,3.8493,2018-04-27,2022-03-02,20.55000006790074,4418214.0,3,3,3.0,High,3.8493150684931505,5326156.98,4.9750632084860635
23,INV100022,Sneha Khan,61,Bengaluru,Telangana,ETF,Medium,4978783.0,419711.41,1.4575,2021-06-22,2022-12-06,8.430000062264211,4978783.0,2,2,2.0,Medium,1.4575342465753425,5398494.41,5.709909150249248
24,INV100023,Anjali Gupta,29,Kolkata,Delhi,Equity,High,2202242.0,193356.85,2.6822,2021-08-14,2024-04-19,8.780000108979849,2202242.0,3,2,2.5999999999999996,High,2.682191780821918,2395598.85,3.1873746093883826
25,INV100024,Sunil Gupta,43,Kolkata,Tamil Nadu,Fixed Deposit,Low,4443668.0,389709.68,1.3836,2022-12-10,2024-04-28,8.769999918985846,4443668.0,1,2,1.4,Low,1.3835616438356164,4833377.68,6.26439787753279
26,INV100025,Rakesh Patil,41,Pune,Karnataka,Debt Fund,Low,4637076.0,191974.95,4.7205,2019-09-06,2024-05-25,4.140000077635131,4637076.0,1,1,1.0,Low,4.720547945205479,4829050.95,0.8630515957045004
27,INV100026,Shilpa Mehta,41,Pune,Gujarat,Debt Fund,Low,1966889.0,332797.62,2.4795,2021-07-22,2024-01-13,16.92000006101005,1966889.0,1,3,1.8000000000000003,Medium,2.4794520547945207,2299686.62,6.507592632389203
28,INV100027,Anjali Joshi,52,Pune,Delhi,ETF,Medium,2998075.0,536055.81,1.9041,2019-06-21,2021-05-16,17.880000000000003,2998075.0,2,3,2.4000000000000004,High,1.904109589041096,3534130.81,9.023197644485625
29,INV100028,Sneha Patil,27,Hyderabad,Maharashtra,Debt Fund,Low,4776743.0,222118.55,1.8301,2021-02-05,2022-12-05,4.650000010467383,4776743.0,1,1,1.0,Low,1.83013698630137,4998861.55,2.514585158959104
30,INV100029,Nikita Patil,40,Nagpur,Gujarat,Equity,High,2293207.0,366913.12,3.2795,2021-02-20,2024-06-01,16.0,2293207.0,3,3,3.0,High,3.2794520547945205,2660120.12,4.62973117699037
31,INV100030,Sunil Kulkarni,35,Chennai,Maharashtra,Gold,Medium,2986573.0,539972.4,5.1233,2021-10-03,2026-11-16,18.08000005357311,2986573.0,2,3,2.4000000000000004,High,5.123287671232877,3526545.4,3.297044581431985
32,INV100031,Sunil Sharma,37,Hyderabad,Tamil Nadu,Equity,High,4061303.0,417908.08,2.2767,2022-11-20,2025-02-28,10.290000032009432,4061303.0,3,2,2.5999999999999996,High,2.276712328767123,4479211.08,4.3958274119667795
33,INV100032,Neha Sharma,32,Nagpur,Tamil Nadu,Equity,High,2541470.0,262279.7,4.0082,2021-10-23,2025-10-25,10.319999842610773,2541470.0,3,2,2.5999999999999996,High,4.008219178082192,2803749.7,2.4806087781393593
34,INV100033,Shilpa Verma,49,Bengaluru,Maharashtra,ETF,Medium,3845385.0,392998.35,4.4,2020-06-12,2024-11-04,10.220000078015595,3845385.0,2,2,2.0,Medium,4.4,4238383.35,2.2361856536885494
35,INV100034,Deepak Gupta,52,Hyderabad,West Bengal,ETF,Medium,4561407.0,942386.69,5.1616,2022-01-13,2027-03-12,20.66000008330763,4561407.0,2,3,2.4000000000000004,High,5.161643835616438,5503793.6899999995,3.705505125233244
36,INV100035,Prakash Joshi,33,Chennai,Gujarat,ETF,Medium,2719285.0,357042.12,3.2575,2019-10-31,2023-02-01,13.129999981612814,2719285.0,2,2,2.0,Medium,3.2575342465753425,3076327.12,3.8597670617203095
37,INV100036,Prakash Kulkarni,38,Jaipur,West Bengal,Gold,Medium,1659847.0,250304.93,1.0,2021-01-27,2022-01-27,15.08000014459164,1659847.0,2,3,2.4000000000000004,High,1.0,1910151.93,15.080000144591633
38,INV100037,Vikas Verma,43,Pune,Telangana,ETF,Medium,1992657.0,263030.72,5.4658,2023-05-20,2028-11-04,13.199999799262994,1992657.0,2,2,2.0,Medium,5.465753424657534,2255687.7199999997,2.2943393242618626
39,INV100038,Suresh Mehta,51,Chennai,Rajasthan,Gold,Medium,1870422.0,124383.06,4.4274,2020-08-31,2025-02-02,6.6499998396083875,1870422.0,2,1,1.6,Low,4.427397260273972,1994805.06,1.4648030757046904
40,INV100039,Sneha Deshmukh,36,Mumbai,Telangana,Equity,High,246513.0,49475.16,1.5973,2022-12-19,2024-07-24,20.07000036509231,246513.0,3,3,3.0,High,1.5972602739726027,295988.16000000003,12.132557360410278
41,INV100040,Anjali Khan,57,Ahmedabad,Rajasthan,Mutual Fund,Medium,4097709.0,656452.98,2.7781,2021-05-04,2024-02-12,16.019999956073015,4097709.0,2,3,2.4000000000000004,High,2.778082191780822,4754161.98,5.494370328424414
42,INV100041,Rajesh Joshi,56,Bengaluru,Rajasthan,Equity,High,4181857.0,506004.7,4.5753,2022-09-17,2027-04-14,12.100000071738465,4181857.0,3,2,2.5999999999999996,High,4.575342465753424,4687861.7,2.527872421898225
43,INV100042,Anil Patil,39,Nagpur,Telangana,Equity,High,2167074.0,192652.88,1.4521,2021-01-11,2022-06-25,8.89000006460324,2167074.0,3,2,2.5999999999999996,High,1.452054794520548,2359726.88,6.040768523124651
44,INV100043,Kavita Khan,26,Kolkata,Maharashtra,Debt Fund,Low,2975634.0,409744.8,3.3562,2019-02-28,2022-07-07,13.76999993950869,2975634.0,1,2,1.4,Low,3.356164383561644,3385378.8,3.9187669564878735
45,INV100044,Priya Khan,39,Delhi,Tamil Nadu,Gold,Medium,3471445.0,672071.75,4.0192,2020-05-08,2024-05-14,19.359999942387105,3471445.0,2,3,2.4000000000000004,High,4.019178082191781,4143516.75,4.501618504402027
46,INV100045,Vikas Mehta,33,Chennai,Maharashtra,Equity,High,3461970.0,347927.98,5.063,2020-04-08,2025-04-30,10.04999985557356,3461970.0,3,2,2.5999999999999996,High,5.063013698630137,3809897.98,1.9094562243509472
47,INV100046,Neha Deshmukh,54,Hyderabad,Gujarat,Debt Fund,Low,1338329.0,262312.48,3.126,2019-06-17,2022-08-01,19.599999701119827,1338329.0,1,3,1.8000000000000003,Medium,3.126027397260274,1600641.48,5.892646409260527
48,INV100047,Priya Sharma,47,Pune,Maharashtra,Equity,High,3736342.0,319083.61,5.2027,2018-02-09,2023-04-23,8.540000085645264,3736342.0,3,2,2.5999999999999996,High,5.2027397260273975,4055425.61,1.5875745772875316
49,INV100048,Ritu Verma,61,Kolkata,Tamil Nadu,Debt Fund,Low,1872358.0,357807.61,1.7068,2019-05-04,2021-01-16,19.109999797047358,1872358.0,1,3,1.8000000000000003,Medium,1.7068493150684931,2230165.61,10.788874507548352
50,INV100049,Swati Sharma,44,Chennai,Telangana,Equity,High,1160771.0,208938.78,1.6055,2019-09-30,2021-05-08,18.0,1160771.0,3,3,3.0,High,1.6054794520547946,1369709.78,10.859501822428651
51,INV100050,Nikita Verma,61,Hyderabad,Gujarat,ETF,Medium,2237168.0,130426.89,4.8384,2022-10-08,2027-08-09,5.829999803322773,2237168.0,2,1,1.6,Low,4.838356164383562,2367594.89,1.1780230400957548
52,INV100051,Rakesh Agarwal,48,Nagpur,Gujarat,Mutual Fund,Medium,4444306.0,695978.32,3.7479,2020-05-10,2024-02-07,15.66000000900028,4444306.0,2,3,2.4000000000000004,High,3.747945205479452,5140284.32,3.958041105880983
53,INV100052,Anjali Agarwal,62,Hyderabad,Telangana,Equity,High,2465615.0,372061.3,3.7123,2022-05-06,2026-01-20,15.089999858047587,2465615.0,3,3,3.0,High,3.712328767123288,2837676.3,3.8584555199210557
54,INV100053,Kavita Gupta,26,Hyderabad,Karnataka,Gold,Medium,3981601.0,334056.32,4.7479,2021-06-03,2026-03-02,8.389999902049453,3981601.0,2,2,2.0,Medium,4.747945205479452,4315657.32,1.7113312468353126
55,INV100054,Priya Sharma,58,Pune,Telangana,ETF,Medium,2367217.0,239799.08,2.5479,2021-12-07,2024-06-24,10.129999911288232,2367217.0,2,2,2.0,Medium,2.547945205479452,2607016.08,3.8596457058639677
