investment_id,client_id,client_name,age,city,state,asset_type,risk_category,investment_amount,annual_return_amount,investment_years,investment_start_date,investment_end_date,roi_percent,total_invested,asset_risk_score,roi_risk_score,risk_score,risk_level
1,INV100000,Rakesh Joshi,30,Mumbai,Maharashtra,Equity,High,1133912.0,50459.08,1.7808,2019-04-03,2021-01-12,4.449999647238939,1133912.0,3,1,2.1999999999999997,Medium
2,INV100001,Priya Agarwal,39,Jaipur,Tamil Nadu,Equity,High,4439227.0,658781.29,4.6438,2022-01-06,2026-08-28,14.840000072084623,4439227.0,3,2,2.5999999999999996,High
3,INV100002,Neha Verma,30,Pune,West Bengal,Debt Fund,Low,1539319.0,255065.16,2.2055,2018-11-15,2021-01-28,16.57000011043845,1539319.0,1,3,1.8000000000000003,Medium
4,INV100003,Suresh Joshi,43,Jaipur,Telangana,ETF,Medium,564488.0,96753.24,3.1233,2023-06-16,2026-07-30,17.13999943311461,564488.0,2,3,2.4000000000000004,High
5,INV100004,Rakesh Agarwal,42,Hyderabad,Karnataka,Debt Fund,Low,2111749.0,378425.42,2.3041,2022-10-18,2025-02-05,17.91999996211671,2111749.0,1,3,1.8000000000000003,Medium
6,INV100005,Vikas Joshi,40,Kolkata,Gujarat,Debt Fund,Low,2439572.0,405700.82,4.4164,2018-05-27,2022-10-25,16.629999852433134,2439572.0,1,3,1.8000000000000003,Medium
7,INV100006,Rahul Deshmukh,27,Chennai,Tamil Nadu,Equity,High,4872033.0,387326.62,5.3534,2022-04-23,2027-08-29,7.949999928161406,4872033.0,3,1,2.1999999999999997,Medium
8,INV100007,Kavita Mehta,34,Nagpur,Telangana,ETF,Medium,4957851.0,980167.14,3.8,2021-09-04,2025-06-22,19.76999994554092,4957851.0,2,3,2.4000000000000004,High
9,INV100008,Pooja Deshmukh,33,Pune,Maharashtra,Equity,High,2404036.0,419504.28,3.2384,2021-04-10,2024-07-05,17.449999916806572,2404036.0,3,3,3.0,High
10,INV100009,Kavita Khan,54,Ahmedabad,Maharashtra,ETF,Medium,1542026.0,281573.95,3.1589,2018-05-11,2021-07-07,18.2600001556394,1542026.0,2,3,2.4000000000000004,High
